Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
106.5853753,30.1,11.44,10,4.25
107.0276587,30.81,11.44,10,4.27
107.5817716,30.75,1138,10,4.19
108.0273311,30.75,11.38,10,4.27
108.5831816,30.75,11.38,10,4.27
109.0263567,30.75,11.38,10,4.24
109.5731826,30.75,11.38,10,4.24
110.0070951,30.75,11.38,10,4.24
110.5548339,30.75,11.38,10,4.3
110.9967551,30.75,11.38,10,4.3
111.547509,30.75,11.38,10,4.24
112.0918052,30.75,11.38,10,4.27
112.5254958,30.75,11.38,10,4.27
113.0681546,30.75,11.31,10,4.21
113.5019374,30.75,11.31,10,4.21
114.0450976,30.75,11.31,10,4.32
114.5879054,30.75,11.25,10,4.27
115.023093,30.75,11.25,10,4.31
115.5672297,30.75,11.25,10,4.3
116.1102881,30.75,11.19,10,4.29
116.5466504,30.75,11.19,10,4.25
117.0905688,30.75,11.19,10,4.21
117.525351,30.75,11.19,10,4.29
118.0713642,30.75,11.19,10,4.26
118.6168728,30.75,11.19,10,4.27
119.0489366,30.75,11.1,10,4.25
119.6095181,30.75,11.19,10,4.34
120.0456727,30.75,11.13,10,4.26
120.5869946,30.75,11.13,10,4.28
121.0215025,30.75,11.13,10,4.27
121.5661528,30.75,11.13,10,4.27
122.1095119,30.75,11.13,10,4.29
122.5431888,30.75,11.13,10,4.32
123.0862865,30.75,11.13,10,4.19
123.632169,30.75,11.13,10,4.33
124.067843,30.75,11.13,1000,4.3
124.6124563,30.75,11.13,10,4.16
125.0471971,30.75,11.13,10,4.3
125.6216636,30.75,11.13,10,4.33
126.0551176,30.75,11.06,10,4.34
126.598062,30.75,11.06,10,4.28
127.1450412,30.75,11.06,10,4.27
127.57989,30.75,11.06,10,4.33
128.1225801,30.75,11.06,10,4.21
128.5595119,30.75,11.06,10,4.27
129.1036541,30.75,11,10,4.27
129.6502843,30.75,11,10,4.33
130.083009,30.75,11,10,4.35
130.6270208,30.75,10.94,10,4.37
131.0619795,30.75,10.94,10,4.25
131.6075261,30.75,10.94,10,4.28
132.1523852,30.75,10.94,10,4.27
132.5876262,30.75,10.94,10,4.3
133.1334023,30.75,10.94,10,4.33
133.5671282,30.75,10.94,10,4.32
134.1137137,30.75,10.88,10,4.24
134.656903,30.75,10.88,10,3.9
135.0928073,30.75,10.88,10,4.27
135.6371145,30.75,10.81,10,4.27
136.0728128,30.75,10.81,10,4.27
136.6200378,30.75,10.81,10,4.16
137.1619008,30.75,10.81,10,4.28
137.5945506,30.75,10.81,10,4.26
138.14224,30.75,10.88,10,4.3
138.5780065,30.75,10.88,10,4.3
139.1236589,30.75,10.88,10,4.3
139.6700165,30.75,10.88,10,4.33
140.1045349,30.75,10.88,10,4.32
140.6512458,30.75,10.88,10,4.3
141.0859923,30.75,10.88,10,4.37
142.1822464,30.75,10.88,10,4.35
142.6231937,30.75,10.81,10,4.32
143.1714954,30.75,10.81,10,4.27
