Elapsed Time (s),Hot(C),Cold(V),Voltage(A)
873.0,34.38,-7.37,12.11
873.5,34.38,-7.37,11.89
874.0,34.38,-737.0,11.98
874.5,34.38,-7.37,12.25
875.0,34.38,-7.37,11.79
875.5,34.38,-7.37,12.29
876.0,34.38,-7.37,12.0
876.5,34.38,-7.37,12.18
877.0,34.38,-7.37,11.96
877.5,34.38,-7.37,11.72
878.0,34.38,-7.37,12.1
878.5,34.38,-7.37,12.26
879.0,34.38,-7.37,12.06
879.5,34.38,-7.37,12.07
880.0,34.38,-7.37,12.14
880.5,34.38,-7.37,11.92
881.0,34.38,-7.37,12.03
881.5,34.38,-7.37,11.87
882.0,34.38,-7.37,11.78
882.5,34.38,-7.37,12.22
883.0,34.38,-7.37,11.83
883.5,34.38,-7.37,12.12
884.0,34.38,-7.37,12.16
884.5,34.38,-7.37,12.19
885.0,34.38,-7.37,11.84
885.5,34.38,-7.37,12.07
886.0,34.38,-7.37,12.14
886.5,34.38,-7.37,11.81
887.0,34.38,-7.3,12.23
887.5,34.38,-7.37,11.85
888.0,34.38,-7.37,12.1
888.5,34.38,-7.37,11.81
889.0,34.38,-7.37,11.75
889.5,34.38,-7.37,12.43
890.0,34.38,-7.37,11.81
890.5,34.38,-7.37,11.92
891.0,34.38,-7.37,12.01
891.5,34.38,-7.37,12.3
892.0,34.38,-7.37,11.79
892.5,34.38,-7.37,11.95
893.0,34.38,-7.37,11.94
893.5,34.8,-7.37,11.72
894.0,34.38,-7.37,12.44
894.5,34.38,-7.37,11.9
895.0,34.38,-7.37,11.96
895.5,34.38,-7.37,11.75
896.0,34.38,-7.37,12.65
896.5,34.38,-7.37,11.96
897.0,34.38,-7.37,11.9
897.5,34.38,-7.37,11.92
898.0,34.38,-7.37,12.23
898.5,34.38,-7.37,12.36
899.0,34.38,-7.37,11.68
899.5,34.38,-7.37,11.96
900.0,34.38,-7.37,12.35
900.5,34.38,-7.37,11.99
901.0,34.38,-7.37,11.92
901.5,34.38,-7.37,12.03
902.0,34.38,-7.37,11.85
902.5,34.38,-7.37,12.12
903.0,34.38,-7.37,11.71
903.5,34.38,-7.37,11.87
904.0,34.38,-7.37,12.16
904.5,34.38,-7.37,12.0
905.0,34.38,-7.37,11.69
905.5,34.38,-7.37,11.73
906.0,34.38,-7.37,11.71
906.5,34.38,-7.37,12.28
907.0,34.38,-7.37,11.7
907.5,34.38,-7.37,11.69
908.0,34.38,-7.37,11.81
908.5,34.38,-7.37,12.17
909.0,34.38,-7.37,12.19
909.5,34.38,-7.37,11.95
910.0,34.38,-7.37,11.95
910.5,34.38,-7.37,11.99
911.0,34.38,-7.37,11.7
911.5,34.38,-7.37,11.86
912.0,34.38,-7.37,11.96
912.5,34.38,-7.37,11.86
913.0,34.38,-7.37,11.98
913.5,34.38,-7.37,11.74
914.0,34.38,-7.37,12.72
914.5,34.38,-7.37,11.72
915.0,34.38,-7.37,12.14
915.5,34.38,-7.37,12.23
916.0,34.38,-7.37,11.81
916.5,34.38,-7.37,11.99
917.0,34.38,-7.37,12.55
917.5,34.38,-7.37,11.92
918.0,34.38,-7.37,12.17
918.5,34.38,-7.37,11.92
919.0,34.38,-7.37,11.9
919.5,34.38,-7.37,11.89
920.0,34.38,-7.37,11.76
920.5,34.38,-7.37,12.17
921.0,34.38,-7.37,12.21
921.5,34.38,-7.37,11.83
922.0,34.38,-7.37,12.18
922.5,34.38,-7.37,11.81
923.0,34.38,-7.37,12.02
923.5,34.38,-7.37,12.7
924.0,34.38,-7.37,12.1
924.5,34.38,-7.37,11.9
925.0,34.38,-7.37,12.16
925.5,34.38,-7.37,12.34
926.0,34.38,-7.37,11.78
926.5,34.38,-7.37,11.97
927.0,34.38,-7.37,12.31
927.5,34.38,-7.37,11.76
928.0,34.38,-7.37,11.88
928.5,34.38,-7.37,12.18
929.0,34.38,-7.37,11.82
929.5,34.38,-7.37,11.72
930.0,34.38,-7.37,11.96
930.5,34.38,-7.37,12.03
931.0,34.38,-7.37,11.98
931.5,34.38,-7.37,12.69
932.0,34.38,-7.37,11.96
932.5,34.38,-7.37,11.81
933.0,34.38,-7.37,11.71
933.5,34.38,-7.37,12.13
934.0,34.38,-7.37,11.8
934.5,34.38,-7.37,12.26
935.0,34.38,-7.37,12.14
935.5,34.38,-7.37,11.92
936.0,34.38,-7.37,11.8
936.5,34.38,-7.37,1222.0
937.0,3438.0,-7.37,12.14
937.5,34.38,-7.37,12.29
938.0,34.38,-7.37,12.09
938.5,34.38,-7.37,12.09
939.0,34.38,-7.37,12.39
939.5,34.38,-7.37,11.7
940.0,34.38,-7.37,11.87
940.5,34.38,-7.37,12.02
941.0,34.38,-7.37,12.55
941.5,34.38,-7.37,11.9
942.0,34.38,-7.37,11.96
942.5,34.38,-7.37,12.16
943.0,34.38,-7.37,11.7
943.5,34.38,-7.37,12.19
944.0,34.38,-7.37,12.09
944.5,34.38,-7.37,12.09
945.0,34.38,-7.37,11.9
945.5,34.38,-7.37,12.25
946.0,34.38,-7.37,11.78
946.5,34.38,-7.37,12.15
947.0,34.38,-7.37,11.63
947.5,34.38,-7.37,12.23
948.0,34.38,-7.37,11.97
948.5,34.38,-7.37,11.75
949.0,34.38,-7.44,11.96
949.5,34.38,-7.44,11.74
950.0,34.38,-7.44,12.05
950.5,34.38,-7.44,12.03
951.0,34.38,-7.44,11.9
951.5,34.38,-7.44,11.96
952.0,34.38,-7.44,11.89
952.5,34.38,-7.44,11.86
953.0,34.38,-7.44,12.31
953.5,34.38,-7.44,11.82
954.0,34.38,-7.44,12.33
954.5,34.38,-7.44,11.8
955.0,34.38,-7.44,11.87
955.5,34.38,-7.44,11.96
956.0,34.38,-7.44,12.23
956.5,34.38,-7.44,12.16
957.0,34.38,-7.44,11.8
957.5,34.38,-7.44,11.96
958.0,34.38,-7.44,11.77
958.5,34.38,-7.44,12.25
959.0,34.38,-7.44,12.19
959.5,34.38,-7.44,12.15
960.0,34.38,-7.44,11.85
960.5,34.38,-7.44,11.9
961.0,34.38,-7.44,12.15
961.5,34.38,-7.44,12.0
962.0,34.38,-7.44,11.95
962.5,34.38,-7.44,11.67
963.0,34.38,-7.44,12.03
963.5,34.38,-7.44,12.45
964.0,34.38,-7.44,12.54
964.5,34.38,-7.44,12.17
965.0,34.38,-7.44,11.89
965.5,34.38,-7.44,12.23
966.0,34.38,-7.37,11.69
966.5,34.38,-7.37,11.98
967.0,34.38,-7.37,11.73
967.5,34.38,-7.37,12.12
968.0,34.38,-7.37,11.81
968.5,34.38,-7.37,12.23
969.0,34.38,-7.37,11.84
969.5,34.38,-7.37,12.21
970.0,34.38,-7.37,12.31
970.5,34.38,-7.37,11.85
971.0,34.38,-7.37,12.14
971.5,34.38,-7.37,11.9
972.0,34.38,-7.37,12.07
972.5,34.38,-7.37,11.71
973.0,34.38,-7.37,11.77
973.5,34.38,-7.37,11.95
974.0,34.38,-7.37,12.14
974.5,34.38,-7.37,11.94
975.0,34.38,-7.37,11.9
975.5,34.38,-7.37,11.77
976.0,34.38,-7.37,11.84
976.5,34.38,-7.37,11.88
977.0,34.38,-7.37,12.23
977.5,34.38,-7.37,12.01
978.0,34.38,-7.37,11.87
978.5,34.38,-7.37,12.01
979.0,34.38,-7.37,12.29
979.5,34.38,-7.37,12.08
980.0,34.38,-7.37,12.22
980.5,34.38,-7.37,12.4
981.0,34.38,-7.37,11.76
981.5,34.38,-7.37,11.95
982.0,34.38,-7.37,12.0
982.5,34.38,-7.37,11.85
983.0,34.38,-7.37,11.9
983.5,34.38,-7.37,11.75
984.0,34.38,-7.37,11.79
984.5,34.38,-7.37,12.03
985.0,34.38,-7.37,12.08
985.5,34.38,-7.37,12.41
986.0,34.38,-7.37,11.6
986.5,34.38,-7.37,12.12
987.0,34.38,-7.37,11.85
987.5,34.38,-7.37,11.9
988.0,34.38,-7.37,11.69
988.5,34.38,-7.37,12.31
989.0,34.38,-7.37,11.85
989.5,34.38,-7.37,12.28
990.0,34.38,-7.37,11.85
990.5,34.38,-7.37,12.02
991.0,34.38,-7.37,12.65
991.5,34.38,-7.37,12.23
992.0,34.38,-7.37,12.29
992.5,34.38,-7.37,12.3
993.0,34.38,-7.37,12.48
993.5,34.38,-7.37,11.93
994.0,34.38,-7.44,12.11
994.5,34.38,-7.44,11.98
995.0,34.38,-7.44,12.17
995.5,34.38,-7.44,11.71
996.0,34.38,-7.44,11.85
996.5,34.38,-7.44,12.18
997.0,34.38,-7.44,11.83
997.5,34.38,-7.44,11.8
998.0,34.38,-7.44,12.75
998.5,34.38,-7.44,11.75
999.0,34.38,-7.44,11.9
999.5,34.38,-7.44,12.21
1000.0,34.38,-7.44,0.78
1000.5,34.38,-7.44,11.85
1001.0,34.38,-7.44,11.94
1001.5,34.38,-7.44,11.98
1002.0,34.38,-7.44,12.11
1002.5,34.38,-7.44,12.05
1003.0,34.38,-7.44,11.79
1003.5,34.38,-7.44,11.88
1004.0,34.38,-7.44,11.68
1004.5,34.38,-7.44,12.18
1005.0,34.38,-7.44,11.84
1005.5,34.44,-7.44,11.97
1006.0,34.44,-7.44,12.19
1006.5,34.44,-7.44,11.87
1007.0,34.44,-7.44,11.73
1007.5,34.44,-7.44,11.7
1008.0,34.44,-7.44,12.32
1008.5,34.44,-7.44,11.78
1009.0,34.44,-7.44,11.95
1009.5,34.44,-7.44,11.86
1010.0,34.44,-7.44,12.17
1010.5,34.44,-7.44,11.93
1011.0,34.44,-7.44,11.91
1011.5,34.44,-7.44,11.81
1012.0,34.44,-7.44,12.25
1012.5,34.44,-7.44,11.9
1013.0,34.44,-7.44,11.73
1013.5,34.38,-7.44,11.73
1014.0,34.38,-7.44,11.93
1014.5,34.38,-7.44,11.99
1015.0,34.38,-7.44,12.0
1015.5,34.38,-7.44,11.89
1016.0,34.38,-7.44,11.92
1016.5,34.38,-7.44,12.43
1017.0,34.38,-7.44,11.75
1017.5,34.38,-7.44,12.07
1018.0,34.38,-7.44,12.03
1018.5,34.38,-7.44,12.76
1019.0,34.38,-7.44,11.95
1019.5,34.38,-7.44,11.96
1020.0,34.38,-7.44,12.12
1020.5,34.38,-7.44,12.43
1021.0,34.38,-7.44,11.86
1021.5,34.38,-7.44,11.87
1022.0,34.38,-7.44,11.95
1022.5,34.38,-7.44,11.75
1023.0,34.38,-7.44,12.1
1023.5,34.38,-7.44,11.93
1024.0,34.38,-7.44,11.81
1024.5,34.38,-7.44,12.01
1025.0,34.38,-7.44,12.17
1025.5,34.38,-7.44,11.96
1026.0,34.38,-7.44,11.76
1026.5,34.38,-7.44,11.69
1027.0,34.38,-7.44,12.1
1027.5,34.38,-7.44,12.29
1028.0,34.38,-7.44,11.98
1028.5,34.38,-7.44,12.13
1029.0,34.38,-7.44,11.71
1029.5,34.38,-7.44,12.22
1030.0,34.38,-7.44,11.91
1030.5,34.38,-7.44,11.83
1031.0,34.38,-7.44,11.82
1031.5,34.38,-7.44,11.85
1032.0,34.38,-7.44,11.89
1032.5,34.38,-7.44,11.75
1033.0,34.38,-7.44,11.97
1033.5,34.38,-7.44,12.06
1034.0,34.38,-7.44,11.85
1034.5,34.38,-7.44,12.23
1035.0,34.38,-7.44,11.8
1035.5,34.38,-7.44,11.93
1036.0,34.38,-7.44,12.01
1036.5,34.38,-7.44,12.17
1037.0,34.38,-7.44,11.69
1037.5,34.38,-7.44,12.18
1038.0,34.44,-744.0,12.24
1038.5,34.44,-7.44,11.75
1039.0,34.44,-7.44,12.15
1039.5,34.44,-7.44,11.77
1040.0,34.44,-7.44,11.8
1040.5,34.44,-7.44,11.8
1041.0,34.44,-7.44,11.85
1041.5,34.44,-7.44,11.87
1042.0,34.44,-7.44,12.28
1042.5,34.44,-7.44,12.24
1043.0,34.44,-7.44,12.15
1043.5,34.44,-7.44,0.05
1044.0,34.44,-7.44,11.74
1044.5,34.44,-7.44,11.98
1045.0,34.44,-7.44,12.23
1045.5,34.44,-7.44,12.25
1046.0,34.44,-7.44,12.38
1046.5,34.44,-7.44,12.07
1047.0,34.44,-7.44,11.94
1047.5,34.44,-7.44,11.97
1048.0,34.44,-7.44,11.96
1048.5,34.44,-7.44,12.18
1049.0,34.44,-7.44,11.76
1049.5,34.44,-7.44,11.88
1050.0,34.44,-7.44,12.18
1050.5,34.44,-7.44,12.02
1051.0,34.44,-7.44,12.24
1051.5,34.44,-7.44,11.69
1052.0,34.44,-7.44,11.77
1052.5,34.44,-7.44,12.0
1053.0,34.44,-7.44,11.94
1053.5,34.44,-7.44,12.16
1054.0,34.44,-7.44,12.52
1054.5,34.44,-7.44,12.34
1055.0,34.44,-7.44,12.33
1055.5,34.44,-7.44,12.56
1056.0,34.44,-7.44,12.31
1056.5,34.44,-7.44,12.18
1057.0,34.44,-7.44,12.14
1057.5,34.44,-7.44,12.09
1058.0,34.44,-7.44,11.84
1058.5,34.44,-7.44,11.83
1059.0,34.44,-7.44,12.48
1059.5,34.44,-7.44,11.92
1060.0,34.44,-7.44,11.74
1060.5,34.44,-7.44,12.02
1061.0,34.44,-7.44,12.02
1061.5,34.44,-7.44,11.84
1062.0,34.44,-7.44,12.4
1062.5,34.44,-7.44,11.76
1063.0,34.44,-7.44,12.15
1063.5,34.44,-7.44,11.84
1064.0,34.44,-7.44,12.35
1064.5,34.44,-7.44,12.27
1065.0,34.44,-7.44,12.7
1065.5,34.44,-7.44,12.21
1066.0,34.44,-7.44,11.8
1066.5,34.44,-7.44,11.94
1067.0,34.44,-7.44,12.06
1067.5,34.44,-7.44,11.9
1068.0,34.44,-7.44,11.81
1068.5,34.44,-7.44,12.29
1069.0,34.44,-7.44,12.5
1069.5,34.44,-7.44,12.19
1070.0,34.44,-7.44,11.9
1070.5,34.44,-7.44,11.82
1071.0,34.44,-7.44,11.99
1071.5,34.44,-7.44,12.35
1072.0,34.44,-7.44,11.96
1072.5,34.44,-7.44,11.69
1073.0,34.44,-7.44,11.91
1073.5,34.44,-7.44,12.54
1074.0,34.44,-7.44,12.32
1074.5,34.44,-7.44,11.88
1075.0,34.44,-7.44,11.79
1075.5,34.44,-7.44,12.03
1076.0,34.44,-7.44,11.79
1076.5,34.44,-7.44,11.9
1077.0,34.44,-7.44,11.93
1077.5,34.44,-7.44,11.91
1078.0,34.44,-7.44,12.16
1078.5,34.44,-7.44,11.79
1079.0,34.44,-7.44,12.07
1079.5,34.44,-7.44,12.03
1080.0,34.44,-7.44,11.96
1080.5,34.44,-7.44,12.01
1081.0,34.44,-7.44,12.12
1081.5,34.44,-7.44,12.35
1082.0,34.44,-7.44,12.15
1082.5,34.44,-7.44,12.27
1083.0,34.44,-7.44,11.81
1083.5,34.44,-7.44,12.0
1084.0,34.44,-7.44,11.9
1084.5,34.44,-7.44,11.93
1085.0,34.44,-7.44,12.05
1085.5,34.44,-7.44,11.82
1086.0,34.44,-7.44,11.64
1086.5,34.44,-7.44,11.94
1087.0,34.44,-7.44,12.31
1087.5,34.44,-7.44,12.08
1088.0,34.44,-7.44,11.87
1088.5,34.44,-7.44,11.86
1089.0,34.44,-7.44,1196.0
1089.5,34.44,-7.44,11.68
1090.0,34.44,-7.44,11.64
1090.5,34.44,-7.44,12.54
1091.0,34.44,-7.44,12.06
1091.5,34.44,-7.44,11.97
1092.0,34.44,-7.44,11.83
1092.5,34.44,-7.44,12.13
1093.0,34.44,-7.44,11.95
1093.5,34.44,-7.44,11.84
1094.0,34.44,-7.44,11.87
1094.5,34.44,-7.44,12.01
1095.0,34.44,-7.44,11.72
1095.5,34.44,-7.44,11.92
1096.0,34.44,-7.44,12.29
1096.5,34.44,-7.44,12.01
1097.0,34.44,-7.44,11.91
1097.5,34.44,-7.44,11.96
1098.0,34.44,-7.44,12.06
1098.5,34.44,-7.44,11.7
1099.0,34.44,-7.44,12.47
1099.5,34.44,-7.44,11.86
1100.0,34.44,-7.44,12.07
1100.5,34.44,-7.44,12.31
1101.0,34.44,-7.44,11.85
1101.5,34.44,-7.44,11.94
1102.0,34.44,-7.44,12.25
1102.5,34.44,-7.44,12.02
1103.0,34.44,-7.44,12.3
1103.5,34.44,-7.44,11.99
1104.0,34.44,-7.37,11.85
1104.5,34.44,-7.37,12.03
1105.0,34.44,-7.37,11.85
1105.5,34.44,-7.44,11.87
1106.0,34.44,-7.44,12.42
1106.5,34.44,-7.44,11.9
1107.0,34.44,-7.44,11.79
1107.5,34.44,-7.44,11.86
1108.0,34.44,7.37,11.86
1108.5,34.44,-7.37,11.84
1109.0,34.44,-7.37,12.57
1109.5,34.44,-7.37,11.82
1110.0,34.44,-7.37,12.01
1110.5,34.44,-7.37,11.83
1111.0,34.44,-7.37,12.2
1111.5,34.44,-7.37,12.11
1112.0,34.44,-7.37,12.3
1112.5,34.44,-7.37,12.19
1113.0,34.44,-7.37,12.35
1113.5,34.44,-7.37,12.11
1114.0,34.44,-7.37,11.81
1114.5,34.44,-7.37,12.19
1115.0,34.44,-7.37,12.19
1115.5,34.44,-7.37,11.9
1116.0,34.44,-7.37,11.83
1116.5,34.44,-7.37,11.93
1117.0,34.44,-7.37,12.71
1117.5,34.44,-7.37,11.83
1118.0,34.44,-7.37,12.18
1118.5,34.44,-7.37,11.84
1119.0,34.44,-7.37,11.83
1119.5,34.44,-7.37,12.28
1120.0,34.44,-7.37,12.01
1120.5,34.44,-7.37,11.8
1121.0,34.44,-7.37,12.05
1121.5,34.44,-7.37,11.89
1122.0,34.44,-7.37,12.17
1122.5,34.44,-7.37,11.91
1123.0,34.44,-7.37,12.15
1123.5,34.44,-7.37,11.76
1124.0,34.44,-7.37,11.85
1124.5,34.44,-7.37,11.93
1125.0,34.44,-7.37,11.59
1125.5,34.44,-7.37,12.09
1126.0,34.44,-7.37,11.73
1126.5,34.44,-7.37,11.63
1127.0,34.4,-7.37,11.92
1127.5,34.44,-7.37,11.8
1128.0,34.44,-7.37,11.7
1128.5,34.44,-7.37,12.64
1129.0,34.44,-7.37,11.93
1129.5,34.44,-7.37,11.98
1130.0,34.44,-7.37,12.51
1130.5,34.44,-7.37,11.87
1131.0,34.44,-7.37,11.82
1131.5,34.44,-7.37,11.69
1132.0,34.44,-7.37,12.12
1132.5,34.44,-7.37,11.81
1133.0,34.44,-7.37,11.86
1133.5,34.44,-7.37,11.87
1134.0,34.44,-7.37,12.08
1134.5,34.44,-7.37,12.32
1135.0,34.44,-7.37,11.82
1135.5,34.44,-7.37,11.89
1136.0,34.44,-7.37,11.8
1136.5,34.44,-7.37,11.83
1137.0,34.44,-7.37,11.83
1137.5,34.44,-7.37,12.23
1138.0,34.44,-7.37,12.26
1138.5,34.44,-7.37,11.88
1139.0,34.44,-7.37,11.8
1139.5,34.44,-7.37,12.25
1140.0,34.44,-7.37,11.99
1140.5,34.44,-7.37,12.24
1141.0,34.44,-7.37,12.18
1141.5,34.44,-7.37,11.93
1142.0,34.44,-7.37,11.95
1142.5,34.44,-7.37,12.15
1143.0,34.44,-7.37,11.93
1143.5,34.44,-7.37,12.04
1144.0,34.44,-7.37,11.62
1144.5,34.5,-7.37,11.83
1145.0,34.5,-7.44,12.21
1145.5,34.5,-7.44,11.73
1146.0,34.5,-7.44,12.26
1146.5,34.5,-7.44,11.95
1147.0,34.5,-7.44,11.73
1147.5,34.5,-7.44,11.95
1148.0,34.44,-7.44,11.77
1148.5,34.44,-7.44,12.16
1149.0,34.44,-7.44,12.37
1149.5,34.44,-7.44,12.36
1150.0,34.44,-7.44,11.88
1150.5,34.44,-7.44,11.99
1151.0,34.44,-7.44,12.17
1151.5,34.44,-7.44,12.29
1152.0,34.44,-7.44,12.11
1152.5,34.44,-7.44,11.73
1153.0,34.44,-7.44,11.74
1153.5,34.44,-7.44,12.06
1154.0,34.44,-7.44,11.95
1154.5,34.44,-7.44,11.8
1155.0,34.44,-7.44,11.81
1155.5,34.44,-7.44,12.11
1156.0,34.44,-7.44,11.84
1156.5,34.44,-7.44,12.22
1157.0,34.44,-7.44,11.77
1157.5,34.44,-7.44,12.22
1158.0,34.44,-7.44,11.96
1158.5,34.44,-7.44,12.08
1159.0,3444.0,-7.44,11.99
1159.5,34.44,-7.44,12.22
1160.0,34.44,-7.44,12.12
1160.5,34.44,-7.44,11.87
1161.0,34.44,-7.44,12.14
1161.5,34.44,-7.44,12.2
1162.0,34.44,-7.44,11.7
1162.5,34.44,-7.44,11.87
1163.0,34.44,-7.44,12.43
1163.5,34.44,-7.44,11.78
1164.0,34.44,-7.44,11.96
1164.5,34.44,-7.44,12.97
1165.0,34.44,7.44,11.81
1165.5,34.44,-7.44,12.05
1166.0,34.44,-7.44,11.74
1166.5,34.44,-7.44,11.84
1167.0,34.44,-7.44,12.04
1167.5,34.44,-7.44,11.92
1168.0,34.5,-7.44,12.04
1168.5,34.5,-7.44,11.79
1169.0,34.5,-7.5,12.57
1169.5,34.5,-7.44,11.89
1170.0,34.5,-7.44,11.82
1170.5,34.5,-7.44,11.89
1171.0,34.5,-7.44,12.13
1171.5,34.5,-7.44,12.15
1172.0,34.5,-7.44,11.88
1172.5,34.5,-7.44,12.03
1173.0,34.5,-7.44,11.81
1173.5,34.5,-7.44,11.77
1174.0,34.5,-7.44,12.24
1174.5,34.5,-7.44,11.7
1175.0,34.5,-7.44,12.5
1175.5,34.5,-7.44,11.9
1176.0,34.5,-744.0,12.07
1176.5,34.5,-7.44,12.28
1177.0,34.5,-7.44,11.75
1177.5,34.5,-7.44,12.31
1178.0,34.5,-7.44,11.93
1178.5,34.5,-7.44,11.78
1179.0,34.5,-7.44,11.93
1179.5,34.5,-7.44,11.85
1180.0,34.5,-7.44,12.6
1180.5,34.5,-7.44,11.85
1181.0,34.5,-7.44,12.38
1181.5,34.5,-7.44,12.16
1182.0,34.5,-7.44,11.7
1182.5,34.5,-7.44,12.02
1183.0,34.5,-7.44,11.77
1183.5,34.5,-7.44,12.28
1184.0,34.5,-7.44,11.85
1184.5,34.5,-7.44,11.89
1185.0,34.5,-7.44,12.66
1185.5,34.5,-7.44,12.13
1186.0,34.5,-7.44,12.15
1186.5,34.5,-7.44,11.99
1187.0,34.5,-7.44,11.85
1187.5,34.5,-7.4,12.31
1188.0,34.5,-7.44,1201.0
1188.5,34.5,-7.44,11.97
1189.0,34.5,-7.44,12.01
1189.5,34.5,-7.44,12.22
1190.0,34.5,-7.44,11.9
1190.5,34.5,-7.44,12.31
1191.0,34.5,-7.44,11.99
1191.5,34.5,-7.44,12.03
1192.0,34.5,-7.44,11.86
1192.5,34.5,-7.44,12.02
1193.0,34.5,-7.44,11.94
1193.5,34.5,-7.44,12.09
1194.0,34.5,-7.44,12.18
1194.5,34.0,-7.44,12.0
1195.0,34.5,-7.44,12.33
1195.5,34.5,-7.44,11.83
1196.0,34.5,-7.44,11.82
1196.5,34.5,-7.44,12.19
1197.0,34.5,-7.44,11.96
1197.5,34.5,-7.44,11.84
1198.0,34.5,-7.44,11.93
1198.5,34.5,-7.44,11.95
1199.0,34.5,-7.44,11.95
1199.5,34.5,-7.44,11.94
1200.0,34.5,-7.44,1.38
1200.5,34.5,-7.44,0.98
1201.0,34.44,-6.75,1.17
1201.5,34.3,-6.5,0.86
1202.0,34.19,-5.62,0.74
1202.5,34.0,-5.25,0.59
1203.0,33.94,-4.5,0.46
1203.5,33.81,-4.12,0.86
1204.0,33.69,-3.37,0.42
1204.5,33.56,-3.06,0.59
1205.0,33.56,-2.31,0.64
1205.5,33.5,-2.06,0.22
1206.0,33.44,-1.37,0.25
1206.5,33.38,-1.0,0.23
1207.0,33.38,-0.44,0.56
1207.5,33.31,-0.19,0.09
1208.0,33.31,0.37,0.28
1208.5,33.19,0.75,0.37
1209.0,33.19,1.25,0.2
1209.5,33.06,1.62,0.13
1210.0,33.06,2.12,0.33
1210.5,33.06,2.44,0.48
1211.0,33.0,2.87,0.03
1211.5,32.94,3.0,0.35
1212.0,32.88,3.62,0.0
1212.5,32.88,3.75,0.0
1213.0,32.88,4.25,0.23
1213.5,32.81,4.5,0.0
1214.0,32.81,4.94,0.27
1214.5,32.81,5.06,0.0
1215.0,32.69,5.5,0.0
1215.5,32.69,5.69,0.11
1216.0,32.69,6.19,0.0
1216.5,32.63,6.31,0.0
1217.0,32.63,6.69,0.64
1217.5,32.63,6.87,0.01
1218.0,32.56,7.12,0.0
1218.5,32.5,7.75,0.0
1219.0,32.44,8.0,0.0
1219.5,32.44,8.25,0.0
1220.0,32.44,8.63,0.0
1220.5,32.44,8.75,0.11
1221.0,32.44,8.88,0.0
1221.5,32.38,9.19,0.0
1222.0,32.38,9.38,0.0
1222.5,32.31,9.69,0.0
1223.0,32.31,10.0,0.18
1223.5,32.25,10.13,0.0
1224.0,32.25,10.25,0.0
1224.5,32.25,10.5,0.0
1225.0,32.25,10.63,0.0
1225.5,32.25,10.88,0.0
1226.0,32.19,11.13,0.0
1226.5,32.19,11.31,0.0
1227.0,32.19,11.44,0.0
1227.5,32.13,11.69,0.0
1228.0,32.13,11.88,0.0
1228.5,32.06,12.0,0.0
1229.0,32.06,12.13,0.0
1229.5,32.06,12.31,0.0
1230.0,32.06,12.5,0.0
1230.5,32.0,12.69,0.0
1231.0,32.0,12.94,0.0
1231.5,32.0,13.0,0.0
1232.0,31.94,13.13,0.0
1232.5,31.94,13.25,0.0
1233.0,31.94,13.38,0.0
1233.5,31.87,13.63,0.0
1234.0,31.87,13.81,0.0
1234.5,31.81,13.81,0.0
1235.0,31.81,13.94,0.0
1235.5,31.81,14.19,0.0
1236.0,31.81,14.31,0.0
1236.5,31.81,14.44,0.0
1237.0,31.81,14.56,0.0
1237.5,31.81,14.69,0.0
1238.0,31.75,14.81,0.0
1238.5,31.75,15.0,0.0
1239.0,31.75,15.06,0.0
1239.5,31.75,15.19,0.0
1240.0,31.75,15.38,0.0
1240.5,31.75,15.38,0.0
1241.0,31.75,15.5,0.0
1241.5,31.69,15.69,0.0
1242.0,31.69,15.81,0.0
1242.5,31.69,15.88,0.0
1243.0,31.62,16.0,0.0
1243.5,31.62,16.12,0.0
1244.0,31.62,16.31,0.0
1244.5,31.62,16.37,0.0
1245.0,31.56,16.56,0.0
1245.5,31.56,16.62,0.0
1246.0,31.56,16.69,0.0
1246.5,31.56,16.94,0.0
1247.0,31.56,16.94,0.0
1247.5,31.56,17.06,0.0
1248.0,31.56,17.19,0.0
1248.5,31.56,17.19,0.0
1249.0,31.56,17.37,0.0
1249.5,31.56,17.5,0.0
1250.0,31.5,17.56,0.0
1250.5,31.5,17.69,0.0
1251.0,31.5,17.69,0.0
1251.5,31.5,17.81,0.0
1252.0,31.44,17.87,0.0
1252.5,31.44,18.06,0.0
1253.0,31.44,18.06,0.0
1253.5,31.44,18.25,0.0
1254.0,31.44,18.31,0.0
1254.5,31.44,1837.0,0.0
1255.0,31.44,18.37,0.0
1255.5,31.44,18.5,0.0
1256.0,31.44,18.56,0.0
1256.5,31.37,18.62,0.0
1257.0,31.37,18.75,0.0
1257.5,31.37,18.87,0.0
1258.0,31.37,18.94,0.0
1258.5,31.37,19.0,0.0
1259.0,31.37,19.12,0.0
1259.5,31.37,19.19,0.0
1260.0,31.31,19.19,0.0
1260.5,31.31,19.31,0.0
1261.0,31.31,19.37,0.0
1261.5,31.25,19.44,0.0
1262.0,31.25,19.5,0.0
1262.5,31.25,19.62,0.0
1263.0,31.25,19.62,0.0
1263.5,31.25,19.75,0.0
1264.0,31.25,19.75,0.0
1264.5,31.25,19.87,0.0
1265.0,31.25,19.94,0.0
1265.5,31.25,20.06,0.0
1266.0,31.25,20.06,0.0
1266.5,31.25,20.12,0.0
1267.0,31.25,20.19,0.0
1267.5,31.25,20.25,0.0
1268.0,31.25,20.25,0.0
1268.5,31.25,20.37,0.0
1269.0,31.25,20.44,0.0
1269.5,31.25,20.5,0.0
1270.0,31.25,20.56,0.0
1270.5,31.19,20.62,0.0
1271.0,31.19,20.62,0.0
